"SMTPPro - Email Log","SMTPPro - E-Mail-Log"
"Please only use these settings if you are a software developer or server admin.","Verwenden Sie diese Einstellungen nur, wenn Sie Entwickler oder Server-Admin sind"
"Log Emails","Log Emails"
"This will log all outbound emails. View from System->Tools->SMTPPro - Email Log.","Protokolliert alle ausgehenden Mails unter System->Tools->SMTPPro - E-Mail-Log."
"Clean Email Logs","E-Mail-Logs leeren"
"If this is set to yes, old entries will be deleted from email log. Cron is required and log cleaning must be enabled in system/log/enabled for this to work.","Ist dies aktiviert, werden alte Einträge aus dem E-Mail-Log gelöscht. Dafür muss der Magento-Cronjob unter system/log/enabled aktiviert sein."
"Email Log Days Kept","Maximales Alter der E-Mail-Logs"
"Enable Debug Logging","Debug-Logging aktivieren"
"If yes, a log file will be written with debug information to file var/log/aschroder_smtppro.log.","Wenn dies aktiviert ist, wird ein Logfile mit Debug-Informationen unter var/log/aschroder_smtppro.log geschrieben."
"Save settings before running this test.","Vor dem Testen müssen die Einstellungen gespeichert werden."
"Compatible Email Services","Kompatible E-Mail-Services"
"Running SMTP Pro Self Test","Selbsttest"
"SMTP Pro Self Test Results","Ergebnisse des SMTP Pro Selbsttests"
"Extension disabled, cannot run test.","Erweiterung ist deaktiviert, Test kann nicht durchgeführt werden."
"Checking config re-writes have not clashed.","Es gab keine Konfigurationskonflikte."
"Detected overwrite conflict: %s","Es wurde ein Konflikt gefunden: %s"
"Raw connection test for SMTP options.","Verbindungstest für SMTP-Optionen"
"Complete","Vollständig"
"Failed to connect to SMTP server. Reason: ","Verbindung zum SMTP-Server fehlgeschlagen. Ursache: "
"This extension requires an outbound SMTP connection on port: ","Diese Erweiterung benötigt eine ausgehende SMTP-Verbindung auf Port: "
"Connection to Host SMTP server successful","Verbindungsaufbau zum SMTP-Server war erfolgreich"
"Skipping raw connection test for non-SMTP options.","Verbindungstest für Nicht-SMTP-Verbindungen übersprungen"
"Test Email From SMTP Pro Magento Extension","Teste E-Mail mit der SMTP Pro Magento Extension"
"Actual email sending test...","Teste E-Mail-Versand..."
" from: "," von: "
"Test email was sent successfully","Die Testmail wurde erfolgreich versendet"
"Failed to find transport for test.","Übertragungsweg für den Test wurde nicht gefunden."
"Unable to send test email.","Die Testmail konnte nicht gesendet werden."
"Exception message was: %s","Fehlermeldung: %s"
"Please check the user guide for frequent error messages and their solutions.","Bitte suchen Sie im User Guide nach häufigen Fehlern und deren Lösungen"
"Test email was not sent successfully: %s","Die Testmail konnte nicht gesendet werden: %s"
"See exception log for more details.","Bitte sehen Sie im exception.log nach Details"
"Checking that a template exists for the default locale and that email communications are enabled...","Prüfe, ob für die aktuelle Sprache ein Template existiert und ob die E-Mail-Kommunikation aktiviert ist."
"Default templates exist.","Standard-Template existiert"
"Email communications are enabled.","E-Mail-Kommunikation ist aktiviert."
"Default templates exist and email communications are enabled.","Standard-Template existiert und die E-Mail-Kommunikation ist aktiviert."
"Could not find default template, or template not valid, or email communications disabled in Advanced > System settings.","Standard-Template wurde nicht gefunden oder ist ungültig oder die E-Mail-Kommunikation ist nicht aktiviert unter Advanced > System settings."
"Please check that you have templates in place for your emails. These are in app/locale, or custom defined in System > Transaction Emails. Also check Advanced > System settings to ensure email communications are enabled.","Bitte prüfen Sie, ob Templates für Ihre E-Mails existieren. Sie finden diese unter app/locale oder unter System > Transaktions-E-Mails. Prüfen Sie auch, ob die E-Mail-Kommunikation unter Erweitert > System aktiviert ist."
"Could not find default template, or template not valid, or email communications disabled in Advanced > System settings","Standard-Template wurde nicht gefunden oder ist ungültig oder die E-Mail-Kommunikation ist nicht aktiviert unter Advanced > System settings"
"Could not test default template validity.","Die Gültigkeit des Standard-Templates konnte nicht geprüft werden."
"Please check that you have templates in place for your emails. These are in app/locale, or custom defined in System > Transaction Emails.","Bitte prüfen Sie, ob Templates für Ihre E-Mails existieren. Sie finden diese unter app/locale oder unter System > Transaktions-E-Mails."
"Could not test default template validity: %s","Template-Gültigkeit konnte nicht geprüft werden: %s"
"Checking that tables are created...","Prüfe, ob Tabellen angelegt wurden..."
"Could not find required database tables.","Die benötigten Datenbank-Tabellen wurden nicht gefunden."
"Please try to manually re-run the table creation script. For assistance please contact us.","Bitte lassen Sie das Skript zum Anlegen der Tabellen manuell erneut laufen. Für Hilfe kontakteren Sie uns bitte."
"Required database tables exist.",""
"Testing complete, if you are still experiencing difficulties please visit <a target='_blank' href='http://magesmtppro.com'>the support page</a> or contact me via <a target='_blank' href='mailto:support@aschroder.com'>support@aschroder.com</a> for support.","Die Tests sind abgeschlossen, sollte es weiterhin Probleme geben, besuchen sie <a target='_blank' href='http://magesmtppro.com'>die Support-Seite</a> oder kontaktieren Sie mich über <a target='_blank' href='mailto:support@aschroder.com'>support@aschroder.com</a>."
"Testing failed,  please review the reported problems and if you need further help visit  <a target='_blank' href='http://magesmtppro.com'>the support page</a> or contact me via <a target='_blank' href='mailto:support@aschroder.com'>support@aschroder.com</a> for support.","Die Tests sind fehlgeschlagen, bitte prüfen Sie die beanstandeten Probleme, besuchen Sie <a target='_blank' href='http://magesmtppro.com'>die Support-Seite</a>, wenn Sie weitere Hilfe benötigen oder kontaktieren Sie mich unter <a target='_blank' href='mailto:support@aschroder.com'>support@aschroder.com</a>."
"Disabled","Deaktiviert"
"MailUp Username","MailUp-Benutzername"
"MailUp Password","MailUp-Passwort"
"Input your MailUp username and password here. For more information visit <a href='http://mailup.com' target='_blank'>MailUp</a>","Geben Sie Benutzername und Passwort Ihres MailUp-Kontos ein. Für weitere Informationen besuchen Sie <a href='http://mailup.com' target='_blank'>MailUp</a>"
"Google Apps or Gmail","Google Apps oder Gmail"
