"SMTPPro - Email Log","SMTPPro - Eposta Kayıtları"
"See exception log for more details.","Detaylı bilgi için hata raporlarına bakın."
"Checking that a template exists for the default locale and that email communications are enabled...","Varsayılan dil için eposta şablonu varlığı kontrol ve iletişimin aktif olup olmadığı kontrol ediliyor..."
"Default templates exist.","Varsayılan şablon bulundu."
"Email communications are enabled.","Eposta iletişimi aktif."
"Default templates exist and email communications are enabled.","Varsayılan şablon bulundu ve eposta iletişimi aktif."
"Could not find default template, or template not valid, or email communications disabled in Advanced > System settings.","Varsayılan eposta şablonu bulunamadı, ya da hatalı, ya da Gelişmiş > Sistem ayarları kısmında eposta iletişimi kapalı."
"Please check that you have templates in place for your emails. These are in app/locale, or custom defined in System > Transaction Emails. Also check Advanced > System settings to ensure email communications are enabled.","Lütfen eposta şablonlarınızı kontrol edin. Eposta şablonları app/locale klasörü içinde, ya da Sistem > Dinamik Eposta mesajları bölümündedir. Ayrıca Gelişmiş > Sistem ayarları kısmına bakarak eposta iletişiminin aktif olup olmadığını kontrol edebilirsiniz."
"Could not find default template, or template not valid, or email communications disabled in Advanced > System settings","Varsayılan eposta şablonu bulunamadı, ya da hatalı, ya da Gelişmiş > Sistem ayarları kısmında eposta iletişimi kapalı"
"Could not test default template validity.","Varsayılan şablon test edilemedi."
"Please check that you have templates in place for your emails. These are in app/locale, or custom defined in System > Transaction Emails.","Lütfen eposta şablonlarınızı kontrol edin. Eposta şablonları app/locale klasörü içinde, ya da Sistem > Dinamik Eposta mesajları bölümündedir.."
"Could not test default template validity: %s","Varsayılan şablon test edilemedi: %s"
"Checking that tables are created...","Oluşturulan tablolar kontrol ediliyor..."
"Could not find required database tables.","Gerekli veritabanı tabloları bulunamadı."
"Please try to manually re-run the table creation script. For assistance please contact us.","Lütfen tablo oluşturma betiğini tekrar çalıştırın. Destek için lütfen iletişime geçin."
"Required database tables exist.","Gerekli veritabanı tabloları bulundu."
"Testing complete, if you are still experiencing difficulties please visit <a target='_blank' href='http://magesmtppro.com'>the support page</a> or contact me via <a target='_blank' href='mailto:support@aschroder.com'>support@aschroder.com</a> for support.","Test tamamlandı, hala sorun yaşıyorsanız lütfen <a target='_blank' href='http://magesmtppro.com'>destek sayfasını</a> ziyaret edin ya da destek için <a target='_blank' href='mailto:support@aschroder.com'>support@aschroder.com</a> adresinden benimle iletişime geçin."
"Testing failed,  please review the reported problems and if you need further help visit  <a target='_blank' href='http://magesmtppro.com'>the support page</a> or contact me via <a target='_blank' href='mailto:support@aschroder.com'>support@aschroder.com</a> for support.","Test başarısız, lütfen rapor edilen sorunları gözden geçirin ve hala sorun yaşıyorsanız lütfen <a target='_blank' href='http://magesmtppro.com'>destek sayfasını</a> ziyaret edin ya da destek için <a target='_blank' href='mailto:support@aschroder.com'>support@aschroder.com</a> adresinden benimle iletişime geçin."
"Disabled","İptal edildi"
"MailUp Username","MailUp Kullanıcı Adı"
"MailUp Password","MailUp Şifresi"
"Input your MailUp username and password here. For more information visit <a href='http://mailup.com' target='_blank'>MailUp</a>","MailUp kullanıcı adı ve şifrenizi buraya girin. Daha fazla bilgi için <a href='http://mailup.com' target='_blank'>MailUp</a>'ı ziyaret edin."
"Google Apps or Gmail","Google Apps ya da Gmail"
