"Test Email From SMTP Pro Magento Extension","Correo de Prueba de la Extensi&oacute;n SMTP Pro de Magento"
"Actual email sending test...","Prueba de env&iacute;o real de correos..."
" from: "," de: "
"Test email was sent successfully","Correo de prueba enviado con &eacute;xito"
"Failed to find transport for test.","Fallo al encontrar transporte para prueba."
"Unable to send test email.","No se puede enviar el correo de prueba."
"Exception message was: %s","El mensaje de excepci&oacute;n fue: %s"
"Please check the user guide for frequent error messages and their solutions.","Por favor revise la gu&iacute;a de usuario para mensajes de error frecuentes y sus soluciones."
"Test email was not sent successfully: %s","El correo de prueba no fue enviado exitosamente: %s"
"See exception log for more details.","Revisa el registro de excepciones para m&aacute;s detalles."
"Checking that a template exists for the default locale and that email communications are enabled...","Revisando que exista una plantilla para el locale por defecto y que las comunicaciones por correo est&eacute;n activadas..."
"Default templates exist.","Existen plantillas por defecto."
"Email communications are enabled.","Comunicaciones por correo est&aacute;n activadas."
"Default templates exist and email communications are enabled.","Existen plantillas por defecto y comunicaciones por correo est&aacute;n activadas."
"Could not find default template, or template not valid, or email communications disabled in Advanced > System settings.","No se pudo encontrar la plantilla por defecto, o no es v&aacute;lida; o las comunicaciones por correo est&aacute;n desactivadas en Avanzado > Configuraciones de Sistema."
"Please check that you have templates in place for your emails. These are in app/locale, or custom defined in System > Transaction Emails. Also check Advanced > System settings to ensure email communications are enabled.","Por favor revisa que tienes plantillas para tus correos. Estas se encuentran en app/locale, o definidas en Sistema > Correos Transaccionales. Revisa tambi&eacute;n Avanzado > Configuraciones de Sistema para asegurar que las comunicaciones por correo est&aacute; est&aacute;n activas."
"Could not find default template, or template not valid, or email communications disabled in Advanced > System settings","No se pudo encontrar la plantilla por defecto, o no es v&aacute;lida; o las comunicaciones por correo est&aacute;n desactivadas en Avanzado > Configuraciones de Sistema"
"Could not test default template validity.","No se pudo probar la validez de la plantilla por defecto."
"Please check that you have templates in place for your emails. These are in app/locale, or custom defined in System > Transaction Emails.","or favor revisa que tienes plantillas para tus correos. Estas se encuentran en app/locale, o definidas en Sistema > Correos Transaccionales."
"Could not test default template validity: %s","No se pudo probar la validez de la plantilla por defecto: %s"
"Checking that tables are created...","Verificando que las tablas sean creadas..."
"Could not find required database tables.","No se pudo encontrar las tablas requeridas en la base de datos."
"Please try to manually re-run the table creation script. For assistance please contact us.","Por favor trata de volver a ejecutar el script de creaci&oacute;n de tablas. Para asistencia, por favor cont&aacute;ctanos."
"Required database tables exist.","Las tablas requeridas existen en la base de datos."
"Testing complete, if you are still experiencing difficulties please visit <a target='_blank' href='http://magesmtppro.com'>the support page</a> or contact me via <a target='_blank' href='mailto:support@aschroder.com'>support@aschroder.com</a> for support.","Pruebas completas, si a&uacute;n experimentas dificultades, por favor visita <a target='_blank' href='http://magesmtppro.com'>la p&aacute;gina de soporte</a> o cont&aacute;ctame v&iacute;a <a target='_blank' href='mailto:support@aschroder.com'>support@aschroder.com</a> para soporte."
"Testing failed,  please review the reported problems and if you need further help visit  <a target='_blank' href='http://magesmtppro.com'>the support page</a> or contact me via <a target='_blank' href='mailto:support@aschroder.com'>support@aschroder.com</a> for support.","Pruebas fallidas, por favor revisa los problemas reportados y si necesitas m&aacute;s ayuda, visita <a target='_blank' href='http://magesmtppro.com'>la p&aacute;gina de soporte</a> o cont&aacute;ctame via <a target='_blank' href='mailto:support@aschroder.com'>support@aschroder.com</a> para soporte."
